"W1","W2","W3","W4","A","Y"
0,1,0.7837704049889,1,0,1
1,1,0.573687671218067,0,0,1
1,1,0.169274665415287,1,1,1
1,1,0.57089084177278,0,0,1
0,1,0.100402265321463,0,0,0
0,0,0.309993807226419,1,1,0
0,1,0.313715453958139,2,0,1
0,0,0.495622719172388,3,1,1
1,1,0.434797635767609,2,0,1
1,0,0.0959766400046647,1,1,0
0,1,0.658510644454509,1,0,1
0,0,0.827330369735137,0,1,0
0,1,0.221726003102958,0,0,1
0,0,0.610635114833713,1,1,0
0,1,0.214336027158424,1,0,1
0,0,0.38516255794093,1,1,0
0,1,0.628252173075452,1,0,1
0,1,0.0909022931009531,0,0,0
0,0,0.239907059818506,1,1,0
0,1,0.759393495740369,3,1,1
0,1,0.456596091622487,3,0,1
1,1,0.701131616486236,1,0,1
1,1,0.929735148791224,2,0,0
1,1,0.688250267179683,1,0,0
1,1,0.365917808376253,2,0,1
0,1,0.883621814427897,1,0,1
1,1,0.970883117755875,2,0,1
1,1,0.777781343553215,3,0,1
0,0,0.467148880474269,3,1,1
0,1,0.0545971621759236,1,0,1
0,1,0.63389374082908,2,0,1
0,1,0.0976685951463878,1,0,0
0,0,0.0546239777468145,2,1,0
1,1,0.766884098062292,2,1,1
0,1,0.241315365070477,2,0,1
1,1,0.492278185673058,0,0,1
0,1,0.620466613676399,2,0,0
0,1,0.740986861754209,1,0,1
0,0,0.761049832683057,2,1,0
1,1,0.622711721342057,2,0,0
0,0,0.297016315627843,2,1,0
0,1,0.653450339334086,2,0,1
0,1,0.152952388860285,1,0,1
1,1,0.583274721400812,3,0,1
0,1,0.90623667743057,2,0,0
1,1,0.75293190497905,2,0,1
1,1,0.348417607368901,0,0,0
1,1,0.0751009043306112,3,0,1
1,0,0.706706560915336,2,1,0
1,1,0.170244960812852,1,0,1
1,0,0.802103536901996,3,0,0
1,0,0.456715562613681,3,0,0
0,1,0.855792237911373,3,0,1
0,1,0.0787585543002933,2,0,1
0,0,0.836696320911869,2,1,0
1,1,0.561386854154989,1,0,1
0,1,0.781375496182591,2,0,0
0,1,0.693443241761997,1,0,1
1,1,0.336083791451529,2,0,1
0,1,0.855156394885853,1,0,1
0,0,0.443454421358183,3,1,0
1,1,0.132876076502725,1,0,1
1,0,0.0775131150148809,2,0,0
1,1,0.900354718323797,3,0,1
0,1,0.595554114552215,3,0,1
0,0,0.130872143199667,1,1,0
1,1,0.238530156435445,1,1,1
0,1,0.421058654785156,0,1,0
1,1,0.822486103279516,2,0,1
0,0,0.893671563593671,2,0,0
0,1,0.826192626729608,3,0,1
0,1,0.0412196067627519,2,0,0
1,0,0.764656939078122,2,1,1
0,1,0.818884450709447,3,0,1
0,1,0.861668327590451,0,0,1
1,0,0.664336272748187,3,1,0
1,0,0.0448909364640713,1,1,0
0,1,0.272138367174193,1,0,1
1,1,0.431309970561415,2,0,1
0,0,0.661271076882258,3,1,0
0,0,0.140820698579773,3,1,0
0,1,0.937323537888005,3,0,1
1,0,0.0762147714849561,2,1,0
1,0,0.397232856834307,3,1,0
1,0,0.474041174398735,1,1,1
1,0,0.462809351971373,3,0,1
1,1,0.615439063403755,1,0,1
1,1,0.440330932382494,1,0,1
0,1,0.298913520760834,1,0,1
0,1,0.360610939562321,1,0,1
0,1,0.0155221624299884,2,0,1
0,0,0.174435497727245,3,1,1
1,1,0.710136358859017,3,0,1
0,1,0.325826676795259,2,0,1
1,1,0.249590112362057,2,0,1
0,1,0.671510496176779,2,0,1
0,1,0.79284900939092,2,0,1
0,0,0.0727316592819989,2,1,0
1,1,0.42597646615468,2,0,1
1,1,0.448522496735677,2,0,0
1,0,0.41136117419228,3,1,0
1,0,0.231499244226143,0,1,0
1,0,0.46965400245972,3,1,1
1,0,0.343095756601542,2,1,0
1,1,0.00853503402322531,1,0,0
0,0,0.7940445067361,1,1,0
1,0,0.396938681835309,2,1,1
0,0,0.829468295909464,3,1,0
0,1,0.789425737224519,2,0,1
0,0,0.169789192499593,3,1,0
1,0,0.883281846996397,3,1,0
1,1,0.684292004909366,3,0,1
1,1,0.674358918098733,3,0,1
0,1,0.501117472071201,1,0,1
1,1,0.561554485233501,1,0,1
1,0,0.13283435604535,2,1,1
0,1,0.865447692573071,1,0,0
0,1,0.783146702218801,2,0,0
0,0,0.1486874318216,3,1,0
1,0,0.536009173141792,3,1,1
0,0,0.770396755076945,3,1,0
0,1,0.0876482531893998,1,0,1
1,1,0.671230287989601,1,0,1
0,1,0.198637301335111,2,0,1
0,1,0.216589317191392,0,0,0
1,0,0.414170617936179,3,1,1
0,0,0.229929671622813,0,1,0
1,0,0.487517049536109,3,1,1
1,1,0.730682719964534,1,0,1
1,1,0.990151499630883,2,0,0
1,1,0.808461079606786,2,0,1
1,0,0.551871301606297,1,1,1
1,1,0.465794161194935,2,0,1
1,1,0.642273956676945,1,0,1
1,0,0.943945231381804,3,1,0
0,1,0.492136087967083,0,0,1
1,1,0.887592399958521,3,0,1
1,1,0.478617844171822,3,1,1
0,0,0.715184022905305,1,1,0
0,1,0.00412320322357118,1,0,0
1,0,0.525002101203427,2,0,0
1,0,0.579590795328841,3,1,1
1,1,0.209570619044825,1,0,1
1,1,0.234223447041586,2,0,1
0,1,0.899853340350091,3,0,0
0,1,0.140684716403484,2,0,0
1,1,0.861574378795922,2,0,1
0,0,0.646390584763139,3,1,0
0,0,0.280899486271665,3,1,1
1,1,0.807912430725992,0,0,1
1,1,0.0982448607683182,2,0,1
1,1,0.340008304687217,2,1,1
1,0,0.888720004819334,1,1,0
0,1,0.309740544995293,2,0,1
1,1,0.878117643296719,2,0,1
0,1,0.898715107236058,1,0,0
0,1,0.79231910710223,3,0,1
1,0,0.201772542437539,2,1,0
0,1,0.96295919874683,3,0,1
0,1,0.590011002030224,2,0,1
0,1,0.99316251417622,2,0,1
1,1,0.121835734695196,2,0,1
0,1,0.751985808601603,1,0,0
0,1,0.687805710826069,3,0,1
0,0,0.358218538342044,3,1,1
1,1,0.852202953072265,2,0,1
0,1,0.725478411419317,1,0,1
1,1,0.697906425688416,3,0,1
1,1,0.365107099059969,2,0,1
0,1,0.479959734482691,3,0,1
1,0,0.592793938005343,3,1,1
1,1,0.84481601906009,3,0,1
1,1,0.34319485258311,3,0,1
0,1,0.338709631701931,0,1,1
1,0,0.847188404062763,3,0,0
0,1,0.0350051186978817,0,0,0
0,0,0.852821384556592,2,1,0
0,0,0.580181993544102,2,1,1
1,0,0.668730780947953,3,1,1
1,1,0.417593243997544,1,0,1
0,1,0.984514680923894,2,0,1
1,1,0.0640225692186505,1,0,0
1,1,0.863500063540414,3,0,1
1,0,0.00338720250874758,2,1,0
0,0,0.0915702257771045,2,1,0
1,1,0.913921515457332,3,0,1
0,0,0.407706320285797,1,1,0
1,0,0.944833817658946,1,1,0
1,1,0.647063646232709,3,0,1
1,0,0.3240379053168,0,1,0
0,0,0.626044603995979,2,1,1
1,0,0.115857847034931,2,1,0
1,0,0.865102357231081,2,0,0
1,1,0.712820082902908,2,0,1
0,1,0.278217556653544,1,0,0
0,0,0.0747530099470168,1,1,0
1,0,0.926085732411593,2,1,0
0,1,0.0128592294640839,3,0,0
0,1,0.232394820544869,1,1,1
1,1,0.310757511761039,2,0,1
0,1,0.125114278867841,1,0,1
1,0,0.487594863632694,3,1,0
1,0,0.772368137491867,3,1,1
0,0,0.953167360275984,3,1,1
0,1,0.670321253826842,2,1,0
0,1,0.361379181267694,2,0,0
1,1,0.131319739855826,1,0,1
1,1,0.257275971584022,1,0,1
0,1,0.457893800223246,2,1,1
0,1,0.357631182530895,1,1,1
1,0,0.201641883002594,1,1,0
1,1,0.340611634310335,2,0,1
1,0,0.841161692515016,3,1,1
1,0,0.948551207082346,2,1,0
0,0,0.329568063141778,0,1,0
1,1,0.352946337545291,0,0,1
1,1,0.350659383228049,2,0,0
1,0,0.0403589950874448,1,1,0
0,1,0.0382970529608428,1,0,0
1,1,0.747415252495557,1,1,1
1,1,0.574353452306241,3,0,1
1,1,0.728964639827609,2,0,1
0,0,0.341416718438268,3,1,0
1,1,0.398678098106757,1,0,1
0,1,0.922536292346194,1,0,1
1,1,0.671421384904534,2,0,0
1,1,0.281328089768067,2,0,1
0,1,0.689553716685623,1,0,0
1,1,0.225830193143338,1,0,1
1,1,0.0590455436613411,2,0,0
1,1,0.55137204984203,2,0,1
1,1,0.697475116234273,1,0,1
1,1,0.153298593126237,2,1,1
1,0,0.982606793753803,2,0,0
0,1,0.345467859180644,2,1,1
1,0,0.647526858607307,1,0,0
1,1,0.247568704653531,0,0,0
0,0,0.717831983463839,3,1,0
1,1,0.83922799071297,1,0,0
0,1,0.737870438024402,1,0,1
1,1,0.0784232716541737,2,0,0
0,0,0.455941925989464,3,1,1
1,1,0.273833903949708,1,0,1
0,0,0.735474228160456,1,1,0
1,1,0.72804076038301,2,0,1
0,0,0.920109464321285,2,0,0
1,1,0.139928127871826,1,0,1
0,1,0.576180754229426,3,0,1
1,1,0.720398535486311,0,0,1
0,0,0.331239299383014,2,1,1
1,1,0.032471883110702,0,0,0
0,1,0.915761308511719,3,0,1
1,0,0.653341822559014,3,1,0
1,1,0.748879346530885,2,0,0
1,1,0.0990038386080414,0,0,0
1,1,0.34391776076518,1,0,0
0,1,0.455219123745337,0,1,1
0,0,0.764917382737622,3,1,1
0,0,0.347759590949863,3,1,1
0,1,0.573141299188137,0,0,0
0,1,0.954166749492288,2,0,0
1,0,0.994323536055163,3,0,0
0,1,0.483892332529649,3,0,1
0,1,0.585422364063561,3,0,1
0,0,0.919867619872093,3,1,0
1,0,0.801555756712332,1,1,0
0,0,0.443733933381736,3,1,0
0,1,0.606468454468995,1,0,1
0,1,0.0694317908491939,2,0,1
1,1,0.0812247840221971,1,0,1
1,1,0.0764170731417835,1,0,1
1,1,0.93824679334648,2,0,1
0,1,0.695347489090636,3,1,1
0,0,0.755683313822374,2,1,0
0,0,0.613477535080165,1,1,1
1,1,0.650492049288005,2,0,1
0,0,0.641424365574494,3,1,0
1,0,0.59895170526579,3,0,0
0,1,0.0663591343909502,1,0,0
0,0,0.439424306619912,1,1,0
1,1,0.957895306870341,1,0,0
1,1,0.647798761725426,2,0,1
0,1,0.345139282522723,1,0,0
0,1,0.291192462202162,2,0,1
1,1,0.174908875487745,0,0,0
1,1,0.836319781839848,2,0,0
1,1,0.0950676426291466,1,0,0
0,0,0.905789327807724,3,1,0
0,0,0.888432515785098,2,1,0
1,1,0.0773108163848519,2,0,0
1,1,0.533478108001873,3,1,1
0,1,0.985225885175169,1,0,0
0,0,0.00171065214090049,1,1,0
1,0,0.569964839844033,3,1,1
0,0,0.389038013061509,3,1,0
1,1,0.476835144218057,2,0,1
1,1,0.203079083468765,1,0,1
0,0,0.787034387467429,1,1,0
0,0,0.897072773892432,3,1,0
0,1,0.41815994004719,2,0,1
1,1,0.660328112309799,1,0,1
0,1,0.461296377237886,2,0,1
0,1,0.98473947471939,3,0,0
0,1,0.612152688438073,2,0,1
1,0,0.236227855784819,2,1,1
0,1,0.516083265887573,1,1,0
0,1,0.580738673685119,2,0,1
0,1,0.407823839224875,0,0,1
1,0,0.794500547461212,2,1,0
1,1,0.0308462532702833,1,0,0
1,0,0.789243259001523,3,1,1
0,1,0.927831791341305,1,0,1
0,0,0.24314767611213,3,1,0
0,1,0.191909143468365,1,0,1
0,1,0.0566263105720282,1,0,0
1,0,0.0638008480891585,2,1,0
1,0,0.662523372564465,3,0,1
0,0,0.745849610073492,3,1,0
1,0,0.180008461000398,3,1,0
1,1,0.905501118861139,1,1,1
0,0,0.22779360297136,3,1,1
0,1,0.291605197358876,1,0,1
0,1,0.38845247682184,2,0,1
1,1,0.135444379644468,0,0,1
0,1,0.314560130704194,0,0,1
1,1,0.869344463106245,2,0,1
1,0,0.318047679960728,2,1,0
1,0,0.0213330625556409,2,0,0
1,0,0.40568040497601,2,0,0
0,1,0.394365052459762,1,0,1
1,1,0.124731938820332,1,0,0
0,0,0.100059645716101,3,0,0
1,1,0.74806550773792,3,0,1
1,1,0.648357196012512,2,0,1
0,1,0.556351053528488,2,1,1
0,0,0.0105007383972406,1,1,0
1,1,0.364928357535973,3,0,1
1,0,0.568107942584902,2,0,0
0,1,0.557606467977166,3,0,1
0,1,0.961614471627399,1,0,0
1,1,0.000850234413519502,1,1,1
0,1,0.272326985141262,2,0,1
0,0,0.30754688102752,2,1,1
1,1,0.764667570823804,1,0,1
0,0,0.844372261548415,1,1,0
1,1,0.267186049837619,1,0,1
0,1,0.584741928381845,3,0,1
1,0,0.724460047902539,2,0,0
1,0,0.255969648715109,2,1,0
1,1,0.561700708931312,1,0,1
0,1,0.764602961717173,0,0,0
0,1,0.723144187824801,0,0,0
1,0,0.162355586653575,2,1,1
1,1,0.0529429202433676,0,0,0
1,1,0.356151116080582,2,0,1
0,1,0.338653487153351,3,0,1
1,1,0.661510938312858,3,0,1
1,0,0.274183978326619,3,1,1
1,1,0.417856878833845,1,0,1
0,0,0.351626761490479,2,1,0
1,1,0.734159147832543,2,0,1
0,1,0.309612816898152,2,0,1
0,1,0.601878675166517,2,0,1
0,0,0.249271868960932,2,1,0
0,0,0.338920910377055,3,1,0
0,0,0.660867066588253,2,1,0
1,1,0.584639128297567,2,1,1
0,1,0.568919833283871,2,0,1
1,1,0.753878887044266,1,0,1
0,1,0.089322597021237,1,1,1
1,1,0.42140509467572,3,0,1
0,1,0.214250469580293,0,0,1
1,1,0.220990542089567,1,0,1
1,1,0.455150995403528,1,0,1
1,1,0.269852111581713,0,0,1
0,0,0.0418715516570956,3,1,1
0,1,0.61313377530314,2,0,1
0,1,0.321231523063034,3,1,1
0,1,0.493398368125781,1,0,1
0,1,0.773081701481715,3,1,1
0,1,0.100138155510649,2,1,1
0,1,0.336434305645525,1,0,1
1,0,0.917227158788592,2,0,0
1,1,0.276347598526627,1,0,1
1,0,0.69242661097087,2,1,0
1,1,0.155469377525151,1,0,1
1,1,0.526474142679945,1,1,1
0,1,0.749929996673018,1,0,1
1,0,0.590783447958529,3,1,1
1,1,0.757665127282962,0,0,0
1,1,0.640997752081603,1,1,1
1,1,0.836881495080888,1,0,1
1,0,0.497362806228921,3,1,0
0,1,0.276975670596585,0,0,1
1,1,0.6487812907435,0,1,1
0,0,0.14398206002079,2,1,1
0,0,0.929998295847327,2,1,0
1,0,0.795197930885479,3,1,0
0,1,0.339981702389196,1,0,1
1,1,0.470826318487525,2,0,1
1,0,0.0172139236237854,2,0,0
1,0,0.21895122830756,1,1,1
0,1,0.862489721737802,2,0,1
0,1,0.814120413502678,1,0,1
1,1,0.254255318781361,2,0,1
1,0,0.707444572122768,1,1,0
0,1,0.688673626398668,2,1,1
1,1,0.256529821781442,0,0,0
1,1,0.00510688940994442,2,0,0
0,1,0.678176978603005,2,0,1
0,1,0.511532924603671,2,0,1
0,1,0.953336384613067,3,0,1
0,0,0.741237603360787,2,1,0
1,1,0.791756442049518,1,0,1
1,1,0.306567574618384,1,0,0
0,1,0.610742728924379,1,0,0
1,1,0.42856455151923,0,0,1
1,1,0.163128176704049,1,0,1
1,0,0.74162965384312,3,1,1
0,0,0.935118967201561,2,1,0
1,1,0.510870858328417,3,0,1
1,1,0.0892548838164657,1,0,0
0,1,0.842907497892156,3,0,1
1,1,0.264707950409502,1,0,1
1,0,0.472809853963554,1,1,0
0,1,0.108826813055202,0,0,0
1,0,0.515391662949696,1,1,0
1,1,0.728351467754692,3,0,1
1,0,0.423597441986203,2,1,1
0,1,0.383488162886351,2,0,1
1,1,0.801813798723742,3,1,1
1,0,0.136064680758864,3,1,1
1,1,0.125479059061036,1,0,1
0,0,0.312225420027971,3,1,1
1,1,0.88918826286681,3,0,1
0,1,0.0342255211435258,0,1,1
0,1,0.586732958676293,2,0,1
1,0,0.256558378692716,3,0,1
1,1,0.706390449544415,3,0,1
0,1,0.840337833156809,2,0,1
0,0,0.620783753460273,0,1,1
0,1,0.597451164619997,2,1,1
1,1,0.411393926478922,2,0,0
0,0,0.510125657776371,1,1,0
1,0,0.210391680011526,1,1,0
1,0,0.475123697891831,3,1,1
1,0,0.593487209407613,3,1,1
1,1,0.9586784793064,3,0,0
0,0,0.396479229675606,1,1,0
0,0,0.291849670931697,2,1,0
0,0,0.502551569370553,3,1,1
0,0,0.23208078998141,2,1,0
0,1,0.833776601124555,2,0,0
0,1,0.150658389320597,1,0,0
1,1,0.27983938367106,1,0,1
1,0,0.571861620526761,2,1,0
0,1,0.058459670515731,2,0,1
0,0,0.503916268469766,2,1,0
1,1,0.731407255399972,3,0,1
0,0,0.0440959213301539,2,1,0
0,0,0.335394290741533,2,1,1
1,1,0.604486230527982,2,0,1
0,0,0.0890339289326221,3,0,0
0,1,0.987908634124324,2,0,1
1,1,0.248352613300085,1,0,1
1,1,0.586551279528067,2,1,0
1,0,0.366890254663303,3,1,0
0,1,0.952190556563437,2,0,0
0,1,0.914807789493352,1,0,1
1,1,0.681547292973846,1,0,1
1,1,0.404577885754406,2,0,1
1,1,0.229675279697403,0,0,1
1,1,0.311982190003619,0,0,1
1,1,0.835829505696893,1,0,1
1,1,0.559341749874875,1,1,1
1,1,0.173207334242761,1,0,1
1,0,0.837721522664651,2,1,0
0,1,0.532504465896636,1,1,1
0,1,0.97320117847994,2,0,0
1,1,0.916847623884678,1,0,0
0,1,0.58161783288233,1,1,1
0,1,0.87592867272906,1,1,0
1,0,0.0628126747906208,2,1,0
0,1,0.381143472390249,3,0,1
0,1,0.872544752666727,2,0,1
0,1,0.771524452371523,1,0,1
0,0,0.542325863847509,1,1,0
0,0,0.52156551158987,3,1,1
1,1,0.0349979060702026,1,0,1
1,0,0.219389079604298,1,1,0
1,1,0.415960756829008,2,0,1
0,1,0.743446218548343,1,0,1
1,1,0.0685616431292146,3,0,1
0,1,0.661877408390865,2,0,1
0,1,0.086176362587139,1,0,0
1,0,0.249042065115646,2,1,1
1,1,0.485165406949818,1,0,1
1,0,0.904444656101987,3,1,1
1,0,0.244442100869492,1,1,0
0,1,0.688105629524216,2,0,1
0,1,0.761692043859512,1,0,1
0,0,0.830814595101401,2,1,0
0,1,0.841340319486335,2,0,1
0,1,0.0130053756292909,1,0,0
0,1,0.315103620290756,1,1,1
1,0,0.0999054650310427,1,0,1
1,0,0.0423017318826169,2,1,0
1,1,0.0966032764408737,2,0,0
1,1,0.227088652318344,1,0,1
0,1,0.693804373266175,3,0,1
0,1,0.133870286168531,0,0,1
0,1,0.72788890847005,1,1,1
0,1,0.847274683183059,2,0,1
0,1,0.523566872114316,2,0,1
0,1,0.530248939990997,1,0,1
1,0,0.528498284285888,3,1,1
1,1,0.789688494754955,2,0,1
0,0,0.139359372900799,0,1,0
1,1,0.804122428409755,1,0,1
1,1,0.10864776186645,0,0,1
0,1,0.137938942294568,2,0,1
1,0,0.830323459114879,3,1,1
1,0,0.389521213714033,2,0,0
1,0,0.162963193841279,2,1,0
1,0,0.788687804481015,2,1,0
0,1,0.689247264526784,2,0,1
1,1,0.243106352165341,2,0,1
1,1,0.563641797285527,3,0,1
1,1,0.864717900520191,2,0,1
0,1,0.560208922950551,1,0,1
0,1,0.799077447038144,2,0,1
1,1,0.10944356280379,1,0,0
0,0,0.969359711045399,3,1,0
1,1,0.453199148410931,1,0,1
1,1,0.353682365035638,1,0,1
0,0,0.853687798371539,2,1,0
1,0,0.681591559201479,2,0,0
0,1,0.75660642539151,0,0,0
1,1,0.00373047636821866,2,0,1
1,1,0.777295597596094,1,0,0
0,1,0.98291274625808,2,0,1
1,1,0.497219092445448,2,1,1
1,0,0.88144496246241,3,0,1
1,0,0.85704968450591,2,0,0
1,1,0.608100725337863,3,0,1
1,0,0.4885445877444,2,1,0
0,1,0.624193051829934,1,1,1
1,1,0.186042953049764,1,1,1
1,1,0.411034306278452,1,1,1
0,0,0.685354179702699,1,1,0
0,0,0.0448114136233926,3,1,0
0,0,0.513261527754366,2,1,1
1,0,0.39854240254499,3,1,1
1,1,0.193574359640479,1,0,1
1,1,0.142372077563778,2,0,1
1,0,0.409169200109318,3,1,1
1,1,0.457509056199342,1,1,1
1,0,0.272104678442702,2,1,1
0,0,0.56162096420303,1,1,0
0,1,0.0187191138975322,1,0,0
1,1,0.246370207518339,1,0,1
0,1,0.885708453599364,2,0,1
0,1,0.41700723208487,1,0,1
0,1,0.128385086543858,1,0,0
1,1,0.646872066427022,2,0,1
1,1,0.752339852973819,2,0,1
0,0,0.704446955351159,2,1,1
1,0,0.649321858771145,2,1,1
0,0,0.65489867515862,3,1,1
1,1,0.619118187576532,1,0,1
1,0,0.693942680256441,2,1,0
0,1,0.956932361470535,2,0,1
0,1,0.570800638059154,0,0,1
0,1,0.602416697889566,1,0,1
1,1,0.695111342938617,1,0,1
0,1,0.0779843090567738,0,0,1
1,1,0.588869736529887,2,0,1
0,1,0.253687905380502,1,0,0
0,1,0.0432357997633517,0,0,1
0,0,0.709041746566072,3,1,0
0,1,0.875791355734691,1,0,1
0,0,0.803898222278804,3,1,0
0,0,0.914548518368974,3,1,0
0,0,0.00144957681186497,2,1,0
1,1,0.403458792949095,1,1,1
1,1,0.0654984086286277,2,0,0
1,1,0.0152493589557707,1,0,1
1,1,0.57484425441362,2,0,0
1,0,0.542521176394075,2,1,0
1,1,0.894841776695102,2,0,1
0,1,0.363857104443014,0,0,1
0,0,0.496194247389212,2,1,0
0,1,0.122796282172203,1,0,1
0,0,0.026206020032987,2,1,0
0,0,0.843746897997335,2,1,0
1,0,0.854027362773195,3,0,0
1,1,0.378887730184942,2,0,0
1,1,0.518691676901653,0,0,0
0,1,0.77327899239026,1,1,1
1,0,0.676683318335563,2,1,1
1,1,0.0451937424950302,1,0,0
0,0,0.823234850540757,3,1,1
0,1,0.638979634968564,3,0,1
1,0,0.665357602993026,2,1,1
1,1,0.775111456168815,2,0,1
1,1,0.43157388549298,3,1,1
0,1,0.0739450242836028,1,0,1
0,1,0.128631832776591,2,0,0
0,1,0.62724476121366,3,1,1
1,0,0.60190802346915,3,0,1
1,0,0.330862428294495,2,1,0
0,1,0.962539406260476,1,0,0
0,0,0.777462797937915,3,1,1
0,1,0.964739408809692,1,1,1
1,1,0.29800655413419,0,0,1
0,1,0.0538590389769524,1,0,0
0,0,0.585922635160387,3,1,0
1,1,0.232495221076533,1,0,1
1,1,0.755677591077983,0,0,0
1,1,0.062721487833187,1,0,0
0,1,0.92338432976976,2,0,0
1,1,0.152020994806662,2,0,1
0,1,0.603090278804302,3,0,1
1,1,0.624317695852369,0,0,1
1,0,0.480190324131399,2,0,0
0,1,0.0236125900410116,1,0,0
1,0,0.179443075787276,2,1,0
1,0,0.829191756667569,2,1,0
0,1,0.528835726203397,2,1,1
0,1,0.830055627506226,3,0,1
1,1,0.316214353078976,1,0,1
1,1,0.0215527596883476,1,0,0
0,1,0.234817318385467,0,0,1
0,1,0.798241514945403,1,0,1
1,0,0.248474785825238,1,1,0
1,0,0.0868788603693247,2,1,0
0,1,0.252117138821632,0,0,0
1,1,0.439979117596522,2,0,1
0,0,0.991983765969053,3,0,0
0,0,0.463563774712384,2,1,0
0,1,0.0709855486638844,0,0,1
1,1,0.730929990997538,2,0,1
0,1,0.6515113778878,1,1,1
0,0,0.0869747130200267,2,1,0
1,0,0.792884828755632,3,1,0
0,1,0.655228242278099,2,0,1
1,0,0.652294649742544,2,1,1
1,1,0.829855466261506,2,0,1
0,1,0.508501097559929,3,0,1
1,1,0.0510919196531177,1,0,1
0,1,0.935344112105668,2,0,1
1,1,0.794243573676795,2,0,1
0,1,0.0790335417259485,1,0,1
0,1,0.459307551849633,1,0,1
1,1,0.711393034551293,2,0,0
1,1,0.959574962034822,2,0,0
1,1,0.748905600281432,2,0,1
0,1,0.259817736689001,3,0,1
0,0,0.403794086305425,2,1,1
0,1,0.680658798431978,3,0,1
0,1,0.216153210261837,0,1,1
0,1,0.17061982373707,2,0,1
1,0,0.720197435934097,2,1,0
